name,error,ourWeekSub,sbWeekSub,ourWeekPaid,sbWeekPaid,ourWeekOop,sbWeekOop,ourFnOop,sbFnOop,ourFnFees,sbFnFees,ourPct,sbShownPct,dWeekSub,dWeekPaid,dWeekOop,dFnOop,dFnFees,pass
gen-278,,141.72,141.66,134.63,134.58,328.38,328.43,656.75,656.85,926,926,38.38,38,0.06,0.05,-0.05,-0.1,0,false
gen-279,,179.54,179.42,170.56,170.45,700.44,700.57,1400.88,1401.12,1742,1742,24.11,24,0.12,0.11,-0.13,-0.24,0,false
gen-280,,692.19,508.8,657.57,483.36,593.43,545.64,1186.86,1091.28,2502,2058,70.97,71,183.39,174.21,47.79,95.58,444,false
gen-281,,187.2,187.22,177.84,177.86,30.16,30.14,60.32,60.28,416,416,90,90,-0.02,-0.02,0.02,0.04,0,false
gen-282,,260.01,260.16,247.01,247.15,433,432.85,865.99,865.7,1360,1360,53.49,53,-0.15,-0.14,0.15,0.29,0,false
gen-283,,75.6,75.6,71.82,71.82,579.18,579.18,1158.36,1158.36,1302,1302,30.39,30,0,0,0,0,0,true
gen-284,,86.84,86.85,82.5,82.51,427.5,427.5,855,854.99,1020,1020,72.55,73,-0.01,-0.01,0,0.01,0,true
gen-285,,84.1,84.06,79.89,79.86,338.11,338.15,676.22,676.29,836,836,27.78,28,0.04,0.03,-0.04,-0.07,0,false
gen-286,,125.15,125.12,118.89,118.86,383.11,383.14,766.22,766.27,1004,1004,50.38,50,0.03,0.03,-0.03,-0.05,0,false
gen-287,,104.93,104.95,99.69,99.7,103.32,103.31,206.63,206.61,406,406,51.69,52,-0.02,-0.01,0.01,0.02,0,false
gen-288,,90.98,91.08,86.43,86.53,485.57,485.48,971.14,970.95,1144,1144,19.44,19,-0.1,-0.1,0.09,0.19,0,false
gen-289,,42.79,42.84,40.65,40.7,161.35,161.3,322.71,322.6,404,404,21.18,21,-0.05,-0.05,0.05,0.11,0,false
gen-290,,275.33,275.28,261.56,261.52,2112.44,2112.49,4224.88,4224.97,4748,4748,24.04,24,0.05,0.04,-0.05,-0.09,0,false
gen-291,,21.65,21.64,20.57,20.56,117.43,117.44,234.86,234.88,276,276,40.7,41,0.01,0.01,-0.01,-0.02,0,false
gen-292,,157.41,157.33,149.54,149.46,305.46,305.55,610.92,611.09,910,910,57.66,58,0.08,0.08,-0.09,-0.17,0,false
gen-293,,484.52,484.65,460.29,460.42,879.71,879.59,1759.42,1759.17,2680,2680,55.27,55,-0.13,-0.13,0.12,0.25,0,false
gen-294,,150.21,150.24,142.7,142.73,157.3,157.27,314.6,314.54,600,600,50.07,50,-0.03,-0.03,0.03,0.06,0,false
gen-295,,979.76,979.71,930.77,930.72,226.23,226.29,452.46,452.57,2314,2314,90,90,0.05,0.05,-0.06,-0.11,0,false
gen-296,,194.26,194.32,184.55,184.61,1044.46,1044.4,2088.91,2088.79,2458,2458,19.74,20,-0.06,-0.06,0.06,0.12,0,false
gen-297,,499.5,499.68,474.53,474.7,80.47,80.31,160.95,160.61,1110,1110,90,90,-0.18,-0.17,0.16,0.34,0,false
gen-298,,1.28,1.31,1.22,1.24,1528.79,1528.77,3057.57,3057.53,3060,3060,0.15,0,-0.03,-0.02,0.02,0.04,0,false
gen-299,,518.34,518.09,492.43,492.18,328.58,328.83,657.15,657.65,1642,1642,59.72,60,0.25,0.25,-0.25,-0.5,0,false
gen-300,,86.59,86.58,82.26,82.25,163.74,163.75,327.48,327.5,492,492,35.2,35,0.01,0.01,-0.01,-0.02,0,false
gen-301,,162.04,162.14,153.93,154.04,236.07,235.98,472.14,471.94,780,780,33.84,50,-0.1,-0.11,0.09,0.2,0,false
gen-302,,342.15,342.09,325.04,324.99,178.97,179.02,357.93,358.03,1008,1008,90,90,0.06,0.05,-0.05,-0.1,0,false
gen-303,,717.98,641.92,682.08,609.82,475.93,548.18,951.85,1096.36,2316,2316,74.46,74,76.06,72.26,-72.25,-144.51,0,false
gen-304,,18.74,18.73,17.8,17.79,68.2,68.22,136.4,136.43,172,172,21.79,22,0.01,0.01,-0.02,-0.03,0,false
gen-305,,415.45,415.53,394.68,394.75,1132.32,1132.26,2264.64,2264.51,3054,3054,38.22,38,-0.08,-0.07,0.06,0.13,0,false
gen-306,,66.8,66.76,63.46,63.43,1057.54,1057.58,2115.08,2115.16,2242,2242,9.75,10,0.04,0.03,-0.04,-0.08,0,false
gen-307,,151.61,54.91,144.03,52.16,1337.97,484.85,2675.94,969.69,2964,1074,10.23,10,96.7,91.87,853.12,1706.25,1890,false
gen-308,,136.46,136.51,129.64,129.68,680.37,680.33,1360.73,1360.65,1620,1620,68.4,68,-0.05,-0.04,0.04,0.08,0,false
gen-309,,220.46,220.44,209.44,209.42,417.57,417.58,835.13,835.16,1254,1254,43.98,44,0.02,0.02,-0.01,-0.03,0,false
gen-310,,383.38,383.44,364.22,364.27,492.79,492.74,985.57,985.47,1714,1714,89.76,90,-0.06,-0.05,0.05,0.1,0,false
gen-311,,104.41,104.5,99.19,99.27,375.82,375.73,751.63,751.45,950,950,21.98,22,-0.09,-0.08,0.09,0.18,0,false
gen-312,,219.94,220.01,208.94,209.01,727.06,727.01,1454.12,1454,1872,1872,29.67,30,-0.07,-0.07,0.05,0.12,0,false
gen-313,,456.19,456.13,433.38,433.32,106.62,106.69,213.24,213.37,1080,1080,90,90,0.06,0.06,-0.07,-0.13,0,false
